title,link,company,contract,location,date,description
Head of Affiliates,https://www.domestika.org/es/jobs/84933-head-of-affiliates-en-remoto,Domestika,Tiempo completo,En remoto,12/04/21,"At Domestika we are looking for a Head of Affiliates.
Domestika is one of the largest growing creative communities within the creative industry. It all started as a small but dynamic showcase of creative professionals, designed to help them connect and learn from each other.
Years later, born from this core value, Domestika widened its reach by designing and producing online courses for all those who want to learn and improve professionally with the best teachers. The community has grown to more than 5 million people who are constantly curious and passionate about learning new skills.
What does a Head of Affiliates do at Domestika?
As the Head of Affiliates, you will be responsible for managing the Affiliate Team and will focus on data and planning actions and campaigns to create significant growth on Affiliates and in markets where we are currently operating as well as future markets.
Responsibilities:
• Define co-owned goals, objectives, KPIs and creating reporting.
• Leading the affiliate department and drive quality traffic to the brand.
• Act as the Product Owner of the affiliate platform.
• Responsible for the P&L for affiliate revenues.
• Design and implement a strategy to increase the number of affiliates and improve performance affiliates campaigns.
• Develop new actions and initiatives with other channels.
• Oversee and collaborate with the Data Team and Country Managers to design and implement an affiliate strategy for each market.
• Manage and guide the affiliate team in accordance with the growth objectives for each channel and market.
• Advising your team on how to acquire new affiliates and maintain current accounts.
• Hiring new team members.
• Mentor and coach a team whilst driving a high-performance culture.
• Analyze competitors benchmark in order to get new recommendations and opportunities.
Requirements:
• At least 3-year experience in a similar role.
• Experience with engagement, types of traffic, registers, and brand awareness KPIs in different international markets.
• Experience developing affiliate platforms according to affiliates’ necessities.
• Ability to negotiate fairly in both affiliates’ and company's interest.
• Highly proactive, organized, solutions-driven, digitally focused, and a great team player.
• Ability to communicate clearly and passionately when leading the team.
• Excellent people skills to ensure a high-performing team.
• Excellent written and verbal communication skills, with the ability to both work independently and interface with cross-functional teams.
• Attention to detail.
• Fluent in English. Other languages are a plus.
What do we offer?
• A position in one of the leading companies in the creative industry.
• A creative, dynamic, exciting, collaborative, and multicultural team.
• Fast-moving environment in which you can hone your skills, learn along with your colleagues, and grow professionally.
• A salary according to your experience and profile."
Senior Paid Marketing Data Analyst,https://www.domestika.org/es/jobs/84910-senior-paid-marketing-data-analyst-en-remoto,Domestika,Tiempo completo,En remoto,12/04/21,"Domestika is looking for a Senior Paid Marketing Data Analyst.
Domestika is one of the largest growing creative communities within the creative industry. It all started as an online forum and a small but dynamic showcase of creative professionals, designed to help them connect and learn from each other.
Years later, born from this core value, Domestika widened its reach by designing and producing online courses for anyone who wanted to learn and improve professionally with the best teachers. The community has grown to more than 5 million people who are constantly curious and passionate about learning new skills.
What does a Senior Paid Marketing Data Analyst do at Domestika?
• Daily definition of Budget splits across advertising platforms, accounts and campaigns based on Data.
• Tracking of daily revenue across markets.
• Performance analysis of Landing Pages, A/B test, Audiences, Ads, creatives, etc.
• Track and analyse user lifetime value across advertising platforms and countries and suggest actions based on results.
• Analysis of audiences used in campaigns.
• Track, analyse and define the impact of paid action on the total company performance.
• Analysis of KW research for Google Ads.
• Analyse of courses performance x country/language for Paid channels.
• Analyse the Performance by product (Instagram, Youtube, stories, search etc) and market to define the best marketing split for each country.
• Creation of reports and dashboards.
• Feed the paid marketing team with insights and actions in order to improve the performance of campaigns.
Requirements:
• At least 5 years experience in data roles, related to marketing.
• Deep knowledge of Paid Marketing data analysis as well as Google Analytics.
• Very strong analytical skills.
• Very proactive to suggest improvements and definition of next steps.
• Advanced SQL knowledge.
• Advanced level of Spanish and English.
What do we offer?
• Work in one of the leading companies in the creative industry.
• A creative, dynamic, exciting, collaborative, and multicultural team.
• A fast-moving environment in which you can hone your skills, learn along with your colleagues, and grow professionally.
• A salary according to your experience and profile."
Youtube Specialist,https://www.domestika.org/es/jobs/84908-youtube-specialist-en-remoto,Domestika,Tiempo completo,En remoto,12/04/21,"Domestika is looking for a Youtube Specialist.
Your main responsibility will be to manage all aspects of the Domestika YouTube channel.
You will be part of the Social Media team and will work closely with different areas of the Marketing department to create communication content.
Domestika is one of the largest growing creative communities within the creative industry. It all started as a small but dynamic showcase of creative professionals, to help them connect and learn from each other.
Years later, born from this core value, Domestika widened its reach by designing and producing online courses for all those who want to learn and improve professionally with the best teachers in the creative field. From this grew a community of over 5 million people who are curious and passionate about learning new skills.
Today, Domestika produces online courses. We share editorial content for and with the best creative people in the world. We run creative events where teachers, creative professionals, and students all have the chance to share experiences, ideas, and projects.
What does a YouTube Specialist do at Domestika?
• Schedules and publishes content as well as community management, optimization, and audience management tasks.
• Manages the YouTube content calendar.
• Use data to suggest ideas on formats and topics to enhance channel performance.
• Stays up to date on YouTube trends globally and in the creative/e-learning sector to create content strategies and promote best practices.
• Builds and creates a community and an audience and generates web traffic from new users.
• Analyzes daily channel performance and draws conclusions from the data to improve performance and positioning.
Requirements:
• At least 3 years of experience managing a brand's YouTube channel with a large audience.
• You are used to working with remote teams.
• A high level of English is a must.
• You are independent and proactive.
• You can explain growth hacking strategies that you have created or collaborated on and understand the results.
• You have the ability to assimilate the brand personality and understand the creative environment.
• Experience working with management, analytics, and social media tracking tools (G. Analytics, Monday,...).
What do we offer?
• Work in one of the leading companies in the creative industry.
• A creative, dynamic, exciting, collaborative, and multicultural team.
• A salary according to your experience and profile."
Mobile Application Developer,https://www.domestika.org/es/jobs/84898-mobile-application-developer-sant-pere-de-ribes-espana,Paytah,Tiempo completo,"Sant Pere de Ribes, España",12/04/21,"We are looking to hire an experienced Mobile Application Developer who possesses a passion for mobile technologies and will work with the next generation payment platform to help us keep growing in area of high-performance and secure mobile payments, financial technology services.
Our candidate should have work experience in the following areas:
- Collaborate with cross-functional teams to plan, analyze, design, and ship new platform features focusing on mobile technologies
- Develop application programming interfaces (APIs) to support mobile functionality
- Suggest and implement new mobile products, applications and protocols
- Design and build iOS and Android mobile applications
- Fully responsible for mobile application development in the team
- Build and publish applications in application stores (Google, Apple)
- Implement new mobile technologies/frameworks to maximize application performance
- Remain up to date with the terminology, concepts and best practices for coding
mobile applications
- Work closely with colleagues to constantly innovate in terms of application functionality
and design
- Use and adapt existing web applications for mobile applications
- Write unit and user interface (UI) tests to identify and fix application/platform
malfunctions
- Communicate with users to understand their needs and experiences
Job Requirements
Familiar with software development using any of JSON, Node.js, React.js, MEAN stack, MySQL and PL/SQL
Experience in MVC/MVVM concept and software design pattern
Android:
- Excellent knowledge in core Java
- Hands on experience in the full life cycle of Android application development
- Strong knowledge in RESTful web services
- Good knowledge and working experience with Android SDK's
- Push Notifications, Firebase & Toast
- Android Studio & Android Developer Tools
- Kotlin, React Native, Flutter
iOS:
- Very strong experience with Objective-C, Swift, Apple XCode and iOS SDK
- Experience with memory management and caching mechanisms specific to mobile devices
- Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text
- React Native, JavaScript/TypeScript, Flutter 
Background
- Graduate from Information Technology, Computer Science or any related disciplines
- More than 5 years proven hands-on mobile development experience
- Good command of Spanish and English, with proper interpersonal skills 
- We offer competitive remuneration package
- Remote work is possible"
Backend Developer,https://www.domestika.org/es/jobs/84897-backend-developer-sant-pere-de-ribes-espana,Monetum,Tiempo completo,"Sant Pere de Ribes, España",12/04/21,"We are looking to hire an experienced Backend Developer who possesses a passion for mobile and web technologies and will work with next-generation payment gateway platform to help us keep growing in the area of mobile payments, financial technology services. Your primary focus will be the development of all server-side logic, definition, and maintenance of the platform database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your coworkers into the platform. A strong understanding of front-end technologies is therefore necessary as well.
The office is located in Barcelona, Rambla Catalunya
Responsibilities for Backend Developer. Our candidate should work on the following areas:
-  Collaborate with cross-functional teams to plan, analyze, design, and ship new platform features
- Develop application programming interfaces (APIs) to support platform functionality
- Suggest and implement new web-based products, applications, and protocols
- Fully responsible for backend application development in the team
- Implement new technologies and architectures to maximize application performance
- Remain up to date with the terminology, concepts, and best practices for coding modern web-based applications
- Work closely with colleagues to constantly innovate application functionality and design
- Integration of user-facing elements developed by front-end developers with server-side
logic
- Coordinate cross-functionally to ensure project meets business objectives and compliance standards
- Building and documenting reusable code and libraries for future use
- Optimization of the platform application for maximum speed and scalability
- Implementation of security and data protection
- Design and implementation of data storage solutions
- Write code and tests, build prototypes, solve issues, profile and analyze bottlenecks
- Design high-performance and robust APIs to support mobile and web clients
- Manage and optimize scalable distributed systems on the cloud
- Optimization of web applications for performance and scalability
- Develop automated tests to ensure business needs are met and allow for regression testing
- Communicate with users to understand their needs and experiences
Skills and Qualifications:
- Proficient experience with software development tools and back-end programming languages/technologies/products using Java, JavaScript, Python, Node.js, MEAN stack, MySQL and PL/SQL, NoSQL databases
Strong experience in J2EE, Spring Boot, Angular, React.js, Docker, RabbitMQ, Kubernetes, CQRS, WebSockets
- Experience in MVC/MVVM concept and software design pattern, microservices architecture
- Strong knowledge in RESTful web services
- Expertise in cloud platforms like AWS, GCP
- Deep understanding of code versioning tools, such as GitHub, GitLab, automated unit testing, Gerkin, Jenkins, Selenium, DevOps skills
- Data migration, transformation, and scripting
- Experience with Agile or Scrum software development methodologies
Ability to multi-task, organize, and prioritize work
Background
- Graduate from Information Technology, Computer Science or any related disciplines
- More than 5 years of hands-on proven backend development experience
- Good command of Spanish and English, with proper interpersonal skills - We offer a competitive remuneration package
- Candidate can work remotely"
Technical Product Manager TV/IPTV/STB/OTT,https://www.domestika.org/es/jobs/84871-technical-product-manager-tv-iptv-stb-ott-sant-pere-de-ribes-espana,Rakuten TV,Tiempo completo,"Sant Pere de Ribes, España",09/04/21,"About Company: Rakuten TV
We are a global company located in sunny Barcelona with additional offices in the UK, France, Italy and Germany. Our team comprises more than 24 nationalities across 180 employees; we are united in our vision of diversity and our passion for cinema.
Rakuten TV – “Your cinema at home” – Rakuten TV is one of the leading Video-On-Demand platforms in Europe providing the latest movie releases with the latest technology in a true cinematic experience available on Smart TVs. Rakuten TV is now available in 43 countries and forms part of the Internet and e-commerce Japanese giant Rakuten Group, Inc., one of the world’s leading internet services companies, offering a wide variety of services for consumers and businesses, with a focus on e-commerce, fintech and digital content. Rakuten sponsors FC Barcelona, NBA Champion’s Golden State Warriors and Spartan Race, amongst others.
The successful candidate will be passionate about product management, video on demand industry and delivering against tough targets. You must possess the following attributes:
Academic Qualification:
•	Bachelor’s degree qualification in Engineering.
Work Exp 5-10 years.
Mandatory Skills for this role:
Content Delivery, Live streaming Video, High Customization, OTT Apps, CDN, Product Management, Smart TV, Audiovisual, playback.
Requirements:
4+ years of TV /OTT Product Management experience on consumer facing software,
Knowledge of Native Players on Smart TVs, CDN and Video Encoding Technologies.
Management and support of development for connected TV applications.
Strong background in consumer electronics.
Software process definition and integration management.
Broad experience in embedded systems (Linux).
Responsibilities
•	Drive the improvement of video player performance metrics including video start times, buffering 
         ratio, video crashes etc.
•	Collaborate with other members of the product team and drive experimentation of new features.
•	Work closely with playback engineering teams by defining use cases and requirements
•	Develop and nurture relationships with external platform partners and technology vendors
•	Manage video player functionality across multiple products, platforms and/or initiatives
•	Collaborate with Data Science, Product Marketing and Content Operations teams
•	Analyze data using various tools to find the insights that matter
•	Prioritize and manage feature backlogs
•	Craft well-constructed user stories based on consumer and business goals"
Graphic & Visualization Designer,https://www.domestika.org/es/jobs/84817-graphic-visualization-designer-sant-pere-de-ribes-espana,ClearPeaks,Tiempo completo,"Sant Pere de Ribes, España",08/04/21,"Passionate about design and analytics?
Want to work in an international, creative, dynamic team?
If your answer is yes, keep reading!
ClearPeaks is a specialist Business Intelligence consulting firm headquartered in Barcelona, with offices in Dubai, Abu Dhabi, Reus, and Croatia. Since the year 2000, we have been delivering top quality data management and business intelligence solutions to customers in many industries such as Telecommunications, Sports, Entertainment, Finance, Retail, Real Estate and Oil & Gas.
We’re looking for a highly talented and motivated candidate to join us as a Graphic Designer in Barcelona. 
This is a unique opportunity to work in a cutting-edge sector and take charge of the overall branding of the company, while also acting as a creative design consultant in exciting projects that range from classic BI to Big Data and Predictive Analytics.
The Graphic Designer will have 2 main responsibilities:
1. ClearPeaks Marketing Graphic Designer:
• Responsible for the design and creative input for all internal & external corporate documents
• Design for newsletters, new website features & other digital documentation & collateral, following the ClearPeaks guidelines
• Responsible for the design of print material such as brochures and folders
• Creation of unique & business-relevant imagery for social media, web and other marketing collateral
• Optimize, from a design perspective, marketing content such as customer success stories, company sales documents, brochures & flyers, website, newsletters, blog articles, press releases
• Lead the creation of corporate and recruitment video
2. BI Project Graphic Designer:
• Active involvement in BI/Data visualization Projects as a graphic designer
• UX design of projects
• Creation of mock-ups and examples for BI projects (Dashboards, Reports)
• General creative advisor for our consultants on various BI projects
Requirements
• Degree of Graphic Designer
• 1 to 3 years of experience as a Graphic Designer (experience in the IT sector is a plus)
• Experience with Adobe Creative Cloud products such as InDesign, Illustrator and Photoshop as well as PowerPoint and Word
• Experience with UX/UI design
• Experience in corporate video design
• Analytical mindset – experience in infographics and data visualization is a huge plus
• Fluent in English and Spanish, written and spoken
• Passionate about corporate design & branding as well as new technologies
• Excellent written & oral communication skills
• Experience with video creation, animation and editing is a plus
• Self-starter
• Multitasking, flexible person, energetic and hard worker
• Very organized and detailed, proactive and positive, results-oriented & committed to company growth
• Proactive, flexible and energetic person committed to company growth
• Highest quality focus in all activities including context, design, grammatical and visual quality checks is a must
• Demonstrated understanding and appreciation of graphic design; colour theory, typography and layout.
• Attention to detail, creativity and problem-solving skills."
UX Graphic Designer,https://www.domestika.org/es/jobs/84794-ux-graphic-designer-sant-pere-de-ribes-espana,NETENDERS Holding ,Tiempo completo,"Sant Pere de Ribes, España",07/04/21,"About us 
Pioneer & fast growing international company, Netenders is the worldwide marketplace leader in Wholesale Blank Apparel ! 
With Wordans.com, Needen.com & Ntextil.com, we want to give the best experience & product to our customers in Europe, USA, Canada & Australia.
Do you want to be part of our expansion plan ? 
You will evolve into a fast-paced environment : 
2018 ⇒ 4,5M€
2019 ⇒ 14,5M€
2020 ⇒ 29M€
2021 ⇒ 68M€
In Barcelona, you will join a young, dynamic and international team working in an office in Aticco Urquinaona, Barcelona and a few minutes from Plaza Catalunya!
Your responsabilities: 
You will be the guiding line for UX design across our multiple platforms. By auditing, reviewing and generating improvement strategies, you will help our team reach new levels of customer engagement within our websites, making them more attractive, easier to navigate and overall, more effective to reach our target audiences. 
How will you do it? 
By usign Design thinking methods
Focusing on a user-centric mindset
Having great attention to detail
Creative and analytical approach
Understanding of interaction design principles
Knowledge of industry tools such as Sketch, InVision, Adobe InDesign, Illustrator, Zeplin and/or OmniGraffle
What will you bring? 
3-5 years of demonstrated experience in creating and implementing UX design
Proficient with visual design programs such as Adobe Photoshop and others
Ability to work effectively in a collaborative environment to create top-performing interfaces for clients
Experience with coding and ability to troubleshoot
Continued education and research into UX trends and current design strategy and technologies
Professional written and interpersonal skills when communicating with customers and clients
Ability to prioritize and manage several milestones and projects efficiently
Account for challenges using problem-solving skills and seek to optimize data for the best possible outcome
Experience creating storyboards and website mapping
What do we offer? 
Start date: ASAP
23 - 32K Gross/year annual salary plus bonuses. 
Permanent Contract (Indefinido) with 2 months of probation period
Monday - Friday, 9am-18pm schedule
Home office 2 days per week
23 days of paid annual leave
Private health insurance after successfully completing the probation period
Coffee, beverages & healthy snacks every day"
Social Media & Community manager,https://www.domestika.org/es/jobs/84789-social-media-community-manager-sant-pere-de-ribes-espana,Wedid Ventures,Tiempo completo,"Sant Pere de Ribes, España",07/04/21,"En Wedid lanzamos un marketplace de mobiliario y decoración y buscamos a la persona que construya, gestione, ensanche y dinamice la comunidad (entendiendo comunidad en sentido amplio, como el ente formado por usuarios que tienen interés en nuestra marca ya sean voyeurs, brand lovers, leads fríos o calientes, indecisos compulsivos, clientes esporádicos, hard users...).
Participarás en la co-creación de las estrategias de marca, atracción, adquisición, contenido, comunidad, emailing y promo. Así como en la ideación y ejecución de las herramientas según el funnel. 
Tendrás responsabilidad directa sobre la comunicación en redes sociales y la planificación-creación de contenido.
De serie:
Equilibrio entre estrategia y táctica (de ahí lo de social media & community)
Capacidad ejecutora y resolutiva
Que ames tanto la creatividad como el data
Redacción impecable
Capacidad de respuesta
Bombero
Empatía
Funciones:
* Diseño e implementación del plan estratégico de social media
* Creación y redacción de contenidos para las distintas plataformas sociales.
* Gestión de la conversación.
* Conceptualización e implementación de las acciones y campañas 
* Desarrollo y gestión de los calendarios de publicación de las distintas plataformas.
* Colaboración con otros departamentos para la generación de contenidos multimedia.
* Monitorización y análisis de la actividad en las distintas plataformas.
* Identificación de nuevas oportunidades y tendencias en redes sociales
Necesitamos que tengas conocimientos avanzados:
- Herramientas automatización y monitoreo redes sociales
- Marketing digital con especial foco en inbound
- Redes sociales (Forma y fondo. Contenido y continente)
- Analytics y todo el paquete Google 
- Seo
- Woocommerce (no es imprescindible pero puntúa)
Experiencia demostrable. 
Oficinas en Barcelona.
En dependencia del CMO, coordinándote con el ecommerce manager y con un equipo formado por una dupla creativa, tendrás la trepidante misión de crear la comunidad Livelia desde cero. Esto es un reto y lo demás simples trabajos."
Digital Marketing Lead,https://www.domestika.org/es/jobs/84783-digital-marketing-lead-en-remoto,Jexo,Tiempo completo,En remoto,06/04/21,"ABOUT JEXO
We’re a small startup growing extremely fast, building Jira apps. We recently reached 1,000 installations and are about to reach 500 paying customers before our 3rd anniversary. This means we’re on our way towards becoming a leading project management app factory in the Atlassian cloud ecosystem. But we can’t get there without your help! 
WHAT WE'RE LOOKING FOR
We’re looking for a Digital Marketing Lead. This is a remote position, and can be based outside the UK with a freelancer formula. The salary range is negotiable, we’re thinking 35k-40k depending on your skills and experience.
We’re establishing a refreshing brand that stands out, and we have built a good content factory to position Jexo as an authority in the Jira PM space. 
Our next marketing challenge is to overhaul digital distribution and brand exposure. Finding and building audiences, no matter where they are, will be your mission. This is an essential position in the team as we scale our customer base and build the self-sustained Jexo of tomorrow.
We need your strong skills in digital marketing, social media growth and community engagement to help make Jexo a household name and build robust marketing and sales funnels.
WHAT WE OFFER:
This is a remote role so you can work from wherever you want, and with flexible working hours. There’s also the option for shared co-working space.
We offer quite a variety of benefits:
    🌴 Paid days off, sick days and parental leave
    📚 10% of work time dedicated to skill development
    📈 Virtual shares program
    💰 Monthly bounties for remarkable achievements
    💵 Regular salary adjustments
    🍕 ""Pizza & Games"" - monthly virtual get together
ABOUT YOU
You should be digitally savvy, like really, with a decent skill set and an analytical mind that can benchmark performance and forecast results. You know social media channels inside out, and the tricks to tracking and finding the right data. You feel passionate about emerging media and tech, Google Analytics, and you’re a pro at research.
Mandatory experience is required in certain areas:
    At least 2 years of experience in digital media marketing
    Good with SEO & SEM, content marketing, and data & analytics
    Good with Google display ads, pay-per-click ads, social media
    Be able to quickly create and track campaigns
    Understand how LinkedIn works
    Understand the basics of video
    Know how to talk to the technical community and b2b communities
    Interest in project management and technology
    Consumer centric and data-driven thinking
    Understand design-based thinking and planning
Also optional but good to have:
    Work with Google Analytics and Semrush
    Understanding of the Portfolio Project Management and Jira landscapes
    Experience working with an agile team"
